x,y,u,v,p
0,0,0,0,0
0,0.003921568627,0,0,0
0,0.007843137255,0,0,0
0,0.01176470588,0,0,0
0,0.01568627451,0,0,0
0,0.01960784314,0,0,0
0,0.02352941176,0,0,0
0,0.02745098039,0,0,0
0,0.03137254902,0,0,0
0,0.03529411765,0,0,0
0,0.03921568627,0,0,0
0,0.0431372549,0,0,0
0,0.04705882353,0,0,0
0,0.05098039216,0,0,0
0,0.05490196078,0,0,0
0,0.05882352941,0,0,0
0,0.06274509804,0,0,0
0,0.06666666667,0,0,0
0,0.07058823529,0,0,0
0,0.07450980392,0,0,0
0,0.07843137255,0,0,0
0,0.08235294118,0,0,0
0,0.0862745098,0,0,0
0,0.09019607843,0,0,0
0,0.09411764706,0,0,0
0,0.09803921569,0,0,0
0,0.1019607843,0,0,0
0,0.1058823529,0,0,0
0,0.1098039216,0,0,0
0,0.1137254902,0,0,0
0,0.1176470588,0,0,0
0,0.1215686275,0,0,0
0,0.1254901961,0,0,0
0,0.1294117647,0,0,0
0,0.1333333333,0,0,0
0,0.137254902,0,0,0
0,0.1411764706,0,0,0
0,0.1450980392,0,0,0
0,0.1490196078,0,0,0
0,0.1529411765,0,0,0
0,0.1568627451,0,0,0
0,0.1607843137,0,0,0
0,0.1647058824,0,0,0
0,0.168627451,0,0,0
0,0.1725490196,0,0,0
0,0.1764705882,0,0,0
0,0.1803921569,0,0,0
0,0.1843137255,0,0,0
0,0.1882352941,0,0,0
0,0.1921568627,0,0,0
0,0.1960784314,0,0,0
0,0.2,0,0,0
0,0.2039215686,0,0,0
0,0.2078431373,0,0,0
0,0.2117647059,0,0,0
0,0.2156862745,0,0,0
0,0.2196078431,0,0,0
0,0.2235294118,0,0,0
0,0.2274509804,0,0,0
0,0.231372549,0,0,0
0,0.2352941176,0,0,0
0,0.2392156863,0,0,0
0,0.2431372549,0,0,0
0,0.2470588235,0,0,0
0,0.2509803922,0,0,0
0,0.2549019608,0,0,0
0,0.2588235294,0,0,0
0,0.262745098,0,0,0
0,0.2666666667,0,0,0
0,0.2705882353,0,0,0
0,0.2745098039,0,0,0
0,0.2784313725,0,0,0
0,0.2823529412,0,0,0
0,0.2862745098,0,0,0
0,0.2901960784,0,0,0
0,0.2941176471,0,0,0
0,0.2980392157,0,0,0
0,0.3019607843,0,0,0
0,0.3058823529,0,0,0
0,0.3098039216,0,0,0
0,0.3137254902,0,0,0
0,0.3176470588,0,0,0
0,0.3215686275,0,0,0
0,0.3254901961,0,0,0
0,0.3294117647,0,0,0
0,0.3333333333,0,0,0
0,0.337254902,0,0,0
0,0.3411764706,0,0,0
0,0.3450980392,0,0,0
0,0.3490196078,0,0,0
0,0.3529411765,0,0,0
0,0.3568627451,0,0,0
0,0.3607843137,0,0,0
0,0.3647058824,0,0,0
0,0.368627451,0,0,0
0,0.3725490196,0,0,0
0,0.3764705882,0,0,0
0,0.3803921569,0,0,0
0,0.3843137255,0,0,0
0,0.3882352941,0,0,0
0,0.3921568627,0,0,0
0,0.3960784314,0,0,0
0,0.4,0,0,0
0,0.4039215686,0,0,0
0,0.4078431373,0,0,0
0,0.4117647059,0,0,0
0,0.4156862745,0,0,0
0,0.4196078431,0,0,0
0,0.4235294118,0,0,0
0,0.4274509804,0,0,0
0,0.431372549,0,0,0
0,0.4352941176,0,0,0
0,0.4392156863,0,0,0
0,0.4431372549,0,0,0
0,0.4470588235,0,0,0
0,0.4509803922,0,0,0
0,0.4549019608,0,0,0
0,0.4588235294,0,0,0
0,0.462745098,0,0,0
0,0.4666666667,0,0,0
0,0.4705882353,0,0,0
0,0.4745098039,0,0,0
0,0.4784313725,0,0,0
0,0.4823529412,0,0,0
0,0.4862745098,0,0,0
0,0.4901960784,0,0,0
0,0.4941176471,0,0,0
0,0.4980392157,0,0,0
0,0.5019607843,0,0,0
0,0.5058823529,0,0,0
0,0.5098039216,0,0,0
0,0.5137254902,0,0,0
0,0.5176470588,0,0,0
0,0.5215686275,0,0,0
0,0.5254901961,0,0,0
0,0.5294117647,0,0,0
0,0.5333333333,0,0,0
0,0.537254902,0,0,0
0,0.5411764706,0,0,0
0,0.5450980392,0,0,0
0,0.5490196078,0,0,0
0,0.5529411765,0,0,0
0,0.5568627451,0,0,0
0,0.5607843137,0,0,0
0,0.5647058824,0,0,0
0,0.568627451,0,0,0
0,0.5725490196,0,0,0
0,0.5764705882,0,0,0
0,0.5803921569,0,0,0
0,0.5843137255,0,0,0
0,0.5882352941,0,0,0
0,0.5921568627,0,0,0
0,0.5960784314,0,0,0
0,0.6,0,0,0
0,0.6039215686,0,0,0
0,0.6078431373,0,0,0
0,0.6117647059,0,0,0
0,0.6156862745,0,0,0
0,0.6196078431,0,0,0
0,0.6235294118,0,0,0
0,0.6274509804,0,0,0
0,0.631372549,0,0,0
0,0.6352941176,0,0,0
0,0.6392156863,0,0,0
0,0.6431372549,0,0,0
0,0.6470588235,0,0,0
0,0.6509803922,0,0,0
0,0.6549019608,0,0,0
0,0.6588235294,0,0,0
0,0.662745098,0,0,0
0,0.6666666667,0,0,0
0,0.6705882353,0,0,0
0,0.6745098039,0,0,0
0,0.6784313725,0,0,0
0,0.6823529412,0,0,0
0,0.6862745098,0,0,0
0,0.6901960784,0,0,0
0,0.6941176471,0,0,0
0,0.6980392157,0,0,0
0,0.7019607843,0,0,0
0,0.7058823529,0,0,0
0,0.7098039216,0,0,0
0,0.7137254902,0,0,0
0,0.7176470588,0,0,0
0,0.7215686275,0,0,0
0,0.7254901961,0,0,0
0,0.7294117647,0,0,0
0,0.7333333333,0,0,0
0,0.737254902,0,0,0
0,0.7411764706,0,0,0
0,0.7450980392,0,0,0
0,0.7490196078,0,0,0
0,0.7529411765,0,0,0
0,0.7568627451,0,0,0
0,0.7607843137,0,0,0
0,0.7647058824,0,0,0
0,0.768627451,0,0,0
0,0.7725490196,0,0,0
0,0.7764705882,0,0,0
0,0.7803921569,0,0,0
0,0.7843137255,0,0,0
0,0.7882352941,0,0,0
0,0.7921568627,0,0,0
0,0.7960784314,0,0,0
0,0.8,0,0,0
0,0.8039215686,0,0,0
0,0.8078431373,0,0,0
0,0.8117647059,0,0,0
0,0.8156862745,0,0,0
0,0.8196078431,0,0,0
0,0.8235294118,0,0,0
0,0.8274509804,0,0,0
0,0.831372549,0,0,0
0,0.8352941176,0,0,0
