x,y,u,v
0,0,0,0
0,0.005,0.06874084874,0
0,0.01,0.1357843926,0
0,0.015,0.2011306315,0
0,0.02,0.2647795655,0
0,0.025,0.3267311946,0
0,0.03,0.3869855188,2.424582457e-19
0,0.035,0.4455425381,0
0,0.04,0.5024022525,-1.015808896e-19
0,0.045,0.557564662,0
0,0.05,0.6110297666,1.11749272e-18
0,0.055,0.6627975662,1.673278285e-18
0,0.06,0.712868061,0
0,0.065,0.7612412508,1.997319083e-18
0,0.07,0.8079171358,1.411711779e-19
0,0.075,0.8528957158,-2.500474521e-18
0,0.08,0.896176991,-2.141761516e-18
0,0.085,0.9377609612,2.430837285e-18
0,0.09,0.9776476265,1.662128046e-18
0,0.095,1.015836987,1.380083403e-18
0,0.1,1.052329042,1.600126313e-18
0,0.105,1.087123793,-1.619790798e-18
0,0.11,1.120221239,-1.433083535e-18
0,0.115,1.151621379,2.149625302e-18
0,0.12,1.181324215,2.916002192e-18
0,0.125,1.209329746,-3.636311118e-19
0,0.13,1.235637972,1.080319702e-18
0,0.135,1.260248894,-2.852286126e-18
0,0.14,1.28316251,-4.14604284e-18
0,0.145,1.304378821,-5.760315125e-18
0,0.15,1.323897828,1.384699654e-19
0,0.155,1.341719529,5.803797532e-19
0,0.16,1.357843926,3.534523755e-18
0,0.165,1.372271017,9.333030666e-19
0,0.17,1.385000804,-6.099743788e-19
0,0.175,1.396033286,1.726528054e-18
0,0.18,1.405368463,5.763627211e-19
0,0.185,1.413006335,-1.440906803e-19
0,0.19,1.418946902,3.698192117e-19
0,0.195,1.423190165,-5.016046886e-19
0,0.2,1.425736122,-2.901832235e-19
0,0.205,1.426584774,1.505425029e-19
0,0.21,1.425736122,-7.45141655e-19
0,0.215,1.423190165,4.088247542e-20
0,0.22,1.418946902,0
0,0.225,1.413006335,2.407228359e-19
0,0.23,1.405368463,3.184108746e-19
0,0.235,1.396033286,1.685194025e-18
0,0.24,1.385000804,2.125786425e-18
0,0.245,1.372271017,-6.410792239e-19
0,0.25,1.357843926,0
0,0.255,1.341719529,3.134233124e-19
0,0.26,1.323897828,-5.580219344e-18
0,0.265,1.304378821,-2.680736896e-18
0,0.27,1.28316251,-2.259661298e-18
0,0.275,1.260248894,3.584894543e-19
0,0.28,1.235637972,-4.135426539e-18
0,0.285,1.209329746,1.723094391e-18
